Object Type,Object Name,Control Name,Property Name,Old Value,New Value,Time
"Report","Range of InHouseCleanWO",,"RecordSource","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo];","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Report","Range of InHouseCleanWO",,"RecordSource","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo];","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Report","Range of InHouseCleanWO",,"RecordSource","SELECT tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.CustID AS tblCustomers_CustID, tblCustomers.Name, tblCustomers.Contact, tblCustomers.Address, tblCustomers.Address2, tblCustomers.City, tblCustomers.State, tblCustomers.ZipCode, tblCustomers.HomePhone, tblCustomers.WorkPhone, tblCustomers.Source, tblCustomers.SourceAddress, tblCustomers.SourceState, tblCustomers.SourceCity, tblCustomers.SourceZip, tblCustWorkOrderDetail.CustID AS tblCustWorkOrderDetail_CustID, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo, tblCustWorkOrderDetail.DateIn FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.WorkOrderNo) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY tblCustWorkOrderDetail.WorkOrderNo;","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Report","rptCustListByComp",,"RecordSource","qryCustListByVend","qryCustListByComp",
"Query","qryIncompleteByCompany",,,"SELECT tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.CustID, tblCustWorkOrderDetail.Name FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustomers.Source) Like [Enter Company Name: ] & ""*"") AND ((tblCustWorkOrderDetail.DateCompleted) Is Null)) ORDER BY tblCustWorkOrderDetail.WorkOrderNo; ","SELECT [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[CustID], [tblCustWorkOrderDetail].[Name] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustomers].[Source]) Like [Enter Company Name: ] & ""*"") And (([tblCustWorkOrderDetail].[DateCompleted]) Is Null)) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Report","Rge of InHouseCleanWO",,"RecordSource","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo];","SELECT [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[CustID] AS tblCustomers_CustID, [tblCustomers].[Name], [tblCustomers].[Contact], [tblCustomers].[Address], [tblCustomers].[Address2], [tblCustomers].[City], [tblCustomers].[State], [tblCustomers].[ZipCode], [tblCustomers].[HomePhone], [tblCustomers].[WorkPhone], [tblCustomers].[Source], [tblCustomers].[SourceAddress], [tblCustomers].[SourceState], [tblCustomers].[SourceCity], [tblCustomers].[SourceZip], [tblCustWorkOrderDetail].[CustID] AS tblCustWorkOrderDetail_CustID, [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo], [tblCustWorkOrderDetail].[DateIn] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[WorkOrderNo]) Between [Type the beginning workorder:] And [Type the ending workorder:])) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Query","qryCompleteasdateByCompany",,,"SELECT tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.DateCompleted) Between [Completed Begin] And [Completed End])) ORDER BY tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.DateIn; ","SELECT [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[DateCompleted]) Between [Completed Begin] And [Completed End])) ORDER BY [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[DateIn]; ",
"Query","qryCompleteasdateByCompany",,,"SELECT tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.DateCompleted) Between [Completed Begin] And [Completed End])) ORDER BY tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.DateCompleted, tblCustWorkOrderDetail.DateIn; ","SELECT [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[DateCompleted]) Between [Completed Begin] And [Completed End])) ORDER BY [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[DateCompleted], [tblCustWorkOrderDetail].[DateIn]; ",
"Query","qryInComplete",,,"SELECT tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld, tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.CustID FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.DateCompleted) Is Null)) ORDER BY tblCustWorkOrderDetail.WorkOrderNo; ","SELECT [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld], [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[CustID] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[DateCompleted]) Is Null)) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Query","qryInCompleteRush",,,"SELECT tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld, tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.CustID FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.RushOrder)=Yes) AND ((tblCustWorkOrderDetail.DateCompleted) Is Null)) ORDER BY tblCustWorkOrderDetail.WorkOrderNo; ","SELECT [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld], [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[CustID] FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[RushOrder])=Yes) And (([tblCustWorkOrderDetail].[DateCompleted]) Is Null)) ORDER BY [tblCustWorkOrderDetail].[WorkOrderNo]; ",
"Query","qryCompleteasdatetoExcel",,,"SELECT tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo INTO tblIncompletetoExcel FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.Clean) Between [Completed Begin] And [Completed End])) ORDER BY tblCustWorkOrderDetail.Clean; ","SELECT [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld], [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo] INTO tblIncompletetoExcel FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[Clean]) Between [Completed Begin] And [Completed End])) ORDER BY [tblCustWorkOrderDetail].[Clean]; ",
"Query","qryCompleteasdatetoExcel",,,"SELECT tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo INTO tblIncompletetoExcel FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.Clean) Between [Completed Begin] And [Completed End])) ORDER BY tblCustWorkOrderDetail.Clean; ","SELECT [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld], [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo] INTO tblIncompletetoExcel FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[Clean]) Between [Completed Begin] And [Completed End])) ORDER BY [tblCustWorkOrderDetail].[Clean]; ",
"Query","qryJobstoExcel",,,"SELECT tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Name, tblCustomers.Source, tblOrdDetCustAwngs.Qty, tblOrdDetCustAwngs.Description, tblOrdDetCustAwngs.Material, tblOrdDetCustAwngs.Condition, tblOrdDetCustAwngs.Color, tblOrdDetCustAwngs.SizeWgt, tblOrdDetCustAwngs.Price, tblCustWorkOrderDetail.DateCompleted INTO tblJobstoExcel FROM (tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID) INNER JOIN tblOrdDetCustAwngs ON tblCustWorkOrderDetail.WorkOrderNo = tblOrdDetCustAwngs.WorkOrderNo WHERE (((tblCustWorkOrderDetail.Clean) Between [Date In Begin] And [Date In End])) ORDER BY tblCustWorkOrderDetail.Clean; ","SELECT [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Name], [tblCustomers].[Source], [tblOrdDetCustAwngs].[Qty], [tblOrdDetCustAwngs].[Description], [tblOrdDetCustAwngs].[Material], [tblOrdDetCustAwngs].[Condition], [tblOrdDetCustAwngs].[Color], [tblOrdDetCustAwngs].[SizeWgt], [tblOrdDetCustAwngs].[Price], [tblCustWorkOrderDetail].[DateCompleted] INTO tblJobstoExcel FROM (tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]) INNER JOIN tblOrdDetCustAwngs ON [tblCustWorkOrderDetail].[WorkOrderNo]=[tblOrdDetCustAwngs].[WorkOrderNo] WHERE ((([tblCustWorkOrderDetail].[Clean]) Between [Date In Begin] And [Date In End])) ORDER BY [tblCustWorkOrderDetail].[Clean]; ",
"Query","qryJobsCompletebyDatetoExcel",,,"SELECT tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.Name, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Source, tblCustomers.SourceOld, tblCustWorkOrderDetail.Storage, tblCustWorkOrderDetail.StorageTime, tblCustWorkOrderDetail.[Rack#], tblCustWorkOrderDetail.SpecialInstructions, tblCustWorkOrderDetail.RepairsNeeded, tblCustWorkOrderDetail.SeeRepair, tblCustWorkOrderDetail.ReturnStatus, tblCustWorkOrderDetail.Treat, tblCustWorkOrderDetail.RushOrder, tblCustWorkOrderDetail.DateRequired, tblCustWorkOrderDetail.ShipTo INTO tblJobsCompletebyDatetoExcel FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID WHERE (((tblCustWorkOrderDetail.Clean) Between [Completed Begin] And [Completed End])) ORDER BY tblCustWorkOrderDetail.Clean; ","SELECT [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[Name], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Source], [tblCustomers].[SourceOld], [tblCustWorkOrderDetail].[Storage], [tblCustWorkOrderDetail].[StorageTime], [tblCustWorkOrderDetail].[Rack#], [tblCustWorkOrderDetail].[SpecialInstructions], [tblCustWorkOrderDetail].[RepairsNeeded], [tblCustWorkOrderDetail].[SeeRepair], [tblCustWorkOrderDetail].[ReturnStatus], [tblCustWorkOrderDetail].[Treat], [tblCustWorkOrderDetail].[RushOrder], [tblCustWorkOrderDetail].[DateRequired], [tblCustWorkOrderDetail].[ShipTo] INTO tblJobsCompletebyDatetoExcel FROM tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID] WHERE ((([tblCustWorkOrderDetail].[Clean]) Between [Completed Begin] And [Completed End])) ORDER BY [tblCustWorkOrderDetail].[Clean]; ",
"Query","qryItemsCompletedbyDatetoExcel",,,"SELECT tblCustWorkOrderDetail.Clean, tblCustWorkOrderDetail.DateIn, tblCustWorkOrderDetail.WorkOrderNo, tblCustomers.Name, tblCustomers.Source, tblOrdDetCustAwngs.Qty, tblOrdDetCustAwngs.Description, tblOrdDetCustAwngs.Material, tblOrdDetCustAwngs.Condition, tblOrdDetCustAwngs.Color, tblOrdDetCustAwngs.SizeWgt, tblOrdDetCustAwngs.Price, tblCustWorkOrderDetail.DateCompleted INTO tblItemsCompleteByDatetoExcel FROM (tblCustomers INNER JOIN tblCustWorkOrderDetail ON tblCustomers.CustID = tblCustWorkOrderDetail.CustID) INNER JOIN tblOrdDetCustAwngs ON tblCustWorkOrderDetail.WorkOrderNo = tblOrdDetCustAwngs.WorkOrderNo WHERE (((tblCustWorkOrderDetail.Clean) Between [Date In Begin] And [Date In End])) ORDER BY tblCustWorkOrderDetail.Clean; ","SELECT [tblCustWorkOrderDetail].[Clean], [tblCustWorkOrderDetail].[DateIn], [tblCustWorkOrderDetail].[WorkOrderNo], [tblCustomers].[Name], [tblCustomers].[Source], [tblOrdDetCustAwngs].[Qty], [tblOrdDetCustAwngs].[Description], [tblOrdDetCustAwngs].[Material], [tblOrdDetCustAwngs].[Condition], [tblOrdDetCustAwngs].[Color], [tblOrdDetCustAwngs].[SizeWgt], [tblOrdDetCustAwngs].[Price], [tblCustWorkOrderDetail].[DateCompleted] INTO tblItemsCompleteByDatetoExcel FROM (tblCustomers INNER JOIN tblCustWorkOrderDetail ON [tblCustomers].[CustID]=[tblCustWorkOrderDetail].[CustID]) INNER JOIN tblOrdDetCustAwngs ON [tblCustWorkOrderDetail].[WorkOrderNo]=[tblOrdDetCustAwngs].[WorkOrderNo] WHERE ((([tblCustWorkOrderDetail].[Clean]) Between [Date In Begin] And [Date In End])) ORDER BY [tblCustWorkOrderDetail].[Clean]; ",
